1,14.778,11.42,26.98,1,2017-01-23 12:30:00
2,17.761,13.56,31.74,1,2017-01-23 12:35:00
3,21.55,12.71,26.61,1,2017-01-23 12:40:00
4,14.874,11.48,19.37,1,2017-01-23 12:45:00
5,13.377,7.38,20.74,1,2017-01-23 12:50:00
6,21.089,15.1,30.42,1,2017-01-24 8:30:00 
7,17.224,9.83,24.71,1,2017-01-24 8:35:00 
8,17.802,12.46,21.91,1,2017-01-24 8:40:00 
9,13.233,8.48,28.84,1,2017-01-24 8:45:00 
10,14.392,12.52,35.34,1,2017-01-24 8:50:00 
11,14.609,12.65,26.05,1,2017-01-24 8:55:00 
12,13.022,14.92,30.2,1,2017-01-24 9:00:00 
13,27.089,14.26,26,1,2017-01-24 9:05:00 
14,23.922,7.39,29.99,1,2017-01-24 9:10:00 
15,15.913,13.78,20.08,1,2017-01-24 9:15:00 
16,20.109,13.1,28.96,1,2017-01-24 9:20:00 
17,23.891,11.82,25.26,1,2017-01-24 9:25:00 
18,23.377,14.45,14.61,1,2017-01-24 9:30:00 
19,19.625,9.15,19.35,1,2017-01-24 9:35:00 
20,21.117,0.73,16.6,1,2017-01-24 9:40:00 
21,18.99,12.47,8.38,1,2017-01-24 9:45:00 
22,13.54,15.55,18.93,1,2017-01-24 9:50:00 
23,22.622,14.57,26.39,1,2017-01-24 9:55:00 
24,15.567,9.6,22.65,1,2017-01-24 10:00:00 
25,18.635,13.02,30.98,1,2017-01-24 10:05:00 
26,14.455,19.27,32.16,1,2017-01-24 10:10:00 
27,14.095,16.11,36.3,1,2017-01-24 10:15:00 
28,30.416,19.1,36.78,1,2017-01-24 10:20:00 
29,31.972,20.45,39.07,1,2017-01-24 10:25:00 
30,20.201,18.79,38.3,1,2017-01-24 10:30:00 
